13132,Dining and Drinking , Restaurant , Asian Restaurant , Chinese Restaurant , Zhejiang Restaurant,
13133,Dining and Drinking , Restaurant , Latin American Restaurant , South American Restaurant , Colombian Restaurant,
13134,Dining and Drinking , Restaurant , Comfort Food Restaurant,,,
13135,Dining and Drinking , Restaurant , Caribbean Restaurant , Cuban Restaurant,,
13136,Dining and Drinking , Restaurant , Czech Restaurant,,,
13137,Dining and Drinking , Restaurant , Dumpling Restaurant,,,
13138,Dining and Drinking , Restaurant , Dutch Restaurant,,,
13139,Dining and Drinking , Restaurant , Eastern European Restaurant,,,
13140,Dining and Drinking , Restaurant , Middle Eastern Restaurant , Egyptian Restaurant,,
13141,Dining and Drinking , Restaurant , Latin American Restaurant , Empanada Restaurant,,
13142,Dining and Drinking , Restaurant , English Restaurant,,,
13143,Dining and Drinking , Restaurant , African Restaurant , Ethiopian Restaurant,,
13144,Dining and Drinking , Restaurant , Falafel Restaurant,,,
13145,Dining and Drinking , Restaurant , Fast Food Restaurant,,,
13146,Dining and Drinking , Restaurant , Asian Restaurant , Filipino Restaurant,,
13147,Dining and Drinking , Restaurant , Fondue Restaurant,,,
13148,Dining and Drinking , Restaurant , French Restaurant,,,
13149,Dining and Drinking , Restaurant , French Restaurant , Alsatian Restaurant,,
13150,Dining and Drinking , Restaurant , French Restaurant , Auvergne Restaurant,,
13151,Dining and Drinking , Restaurant , French Restaurant , Basque Restaurant,,
13152,Dining and Drinking , Restaurant , French Restaurant , Brasserie,,
13153,Dining and Drinking , Restaurant , French Restaurant , Breton Restaurant,,
13154,Dining and Drinking , Restaurant , French Restaurant , Burgundian Restaurant,,
13155,Dining and Drinking , Restaurant , French Restaurant , Catalan Restaurant,,
13156,Dining and Drinking , Restaurant , French Restaurant , Ch'ti Restaurant,,
13157,Dining and Drinking , Restaurant , French Restaurant , Corsican Restaurant,,
13158,Dining and Drinking , Restaurant , French Restaurant , Estaminet,,
13159,Dining and Drinking , Restaurant , French Restaurant , Labour Canteen,,
13160,Dining and Drinking , Restaurant , French Restaurant , Lyonese Bouchon,,
13161,Dining and Drinking , Restaurant , French Restaurant , Norman Restaurant,,
13162,Dining and Drinking , Restaurant , French Restaurant , Provençal Restaurant,,
13163,Dining and Drinking , Restaurant , French Restaurant , Savoyard Restaurant,,
13164,Dining and Drinking , Restaurant , French Restaurant , Southwestern French Restaurant,,
13165,Dining and Drinking , Restaurant , German Restaurant,,,
13166,Dining and Drinking , Restaurant , German Restaurant , Apple Wine Pub,,
13167,Dining and Drinking , Restaurant , German Restaurant , Bavarian Restaurant,,
13168,Dining and Drinking , Restaurant , German Restaurant , Bratwurst Joint,,
13169,Dining and Drinking , Restaurant , German Restaurant , Currywurst Joint,,
13170,Dining and Drinking , Restaurant , German Restaurant , Franconian Restaurant,,
